s.no,topic,title,url
103,Apache Spark,Spark Screencasts,https://www.youtube.com/playlist?list=PL-x35fyliRwhKT-NpTKprPW1bkbdDcTTW
104,Artificial Intelligence,Natural Language Processing,https://www.codecademy.com/learn/natural-language-processing
105,AWS,Deploy Java Spring Apps Online to Amazon Cloud (AWS),https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deploy-java-spring-apps-online
106,AWS,DevOps on AWS : Learn to set up your infrastructure on cloud,https://www.eduonix.com/devops-on-aws-learn-to-set-up-your-infrastructure-on-cloud
107,AWS,Application Security on AWS with Amazon Cognito,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/amazon-cognito/
108,AWS,Amazon Web Services - Webinar Channel,https://www.youtube.com/playlist?list=PL5bUlblGfe0KiPjAlNclU1pjtpJp7X_2H
109,AWS,"AWS With Python and Flask - Beanstalk, DynamoDB, Boto3, SNS",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deploy-python-flask-apps-to-amazon-aws-with-dynamodb-and-sns/
110,AWS,Amazon Web Services Training Library,https://cloudacademy.com/library/amazon-web-services
111,ASP.NET,ASP.NET MVC 5 Fundamentals,https://pluralsight.com/training/Player?author=scott-allen&name=aspdotnet-mvc5-fundamentals-m1-introduction&mode=live&clip=0&course=aspdotnet-mvc5-fundamentals
112,ASP.NET,Create Your First ASP.NET MVC Website,http://treehouse.7eer.net/c/383034/228915/3944?u=https://teamtreehouse.com/microsoft?cid=7352
113,ASP.NET,C# Station ADO.NET Tutorial,http://www.csharp-station.com/Tutorial/AdoDotNet
114,ASP.NET,ASP.NET tutorial for beginners,https://www.youtube.com/playlist?list=PL6n9fhu94yhXQS_p1i-HLIftB9Y7Vnxlo
115,ASP.NET,ASP.NET Core Tutorial,https://www.tektutorialshub.com/asp-net-core-tutorial
